编号,昵称,军衔,工位,毛色,特征描述,代表照片文件,照片数量,出没区域,关联照片编号,置信度,备注
CAT-018,旗杆,下士,石阶仪仗兵,狸花,偏瘦 尾巴高竖如旗杆尾尖深黑 前爪白手套嘴白,微信图片_20260812143555_83_56.jpg,1,教学楼前大片石阶,812批:83,高,站姿A级
CAT-019,罐头,列兵,后勤炊事员,黄棕狸花,体态圆胖 夜间出没 被拍到吃罐头,微信图片_20260812143555_85_56.jpg,2,夜间路边土坡/砖石路,812批:79;85,低,两张合并置信度低 待确认
CAT-020,体操,列兵,体能教官,狸花加白,白爪白口鼻 白从下巴延伸到腹 爱伸懒腰,微信图片_20260812143555_91_56.jpg,7,水泥地/红砖人行道,812批:89;91;98;补33805:19;21;22;23,中高,红砖地仰卧组4张并入(白爪白口鼻吻合)
CAT-021,门神,下士,门厅守卫,狸花,棕黑虎斑无白 爱团成球睡在黑色瓷砖门厅,微信图片_20260812143555_99_56.jpg,2,建筑物入口黑色瓷砖,812批:92;99,高,同场景确认
CAT-022,摸头,上尉,亲和力教官,狸花,绿黄大眼粉棕鼻白长胡须 任人摸头 亲人,微信图片_20260812143555_101_56.jpg,1,绿色铁栅栏高处台沿,812批:101,高,正脸A级互动照
CAT-023,白梁,中士,外交联络官,狸花加白,白鼻梁竖条通鼻口 绿眼 曾与全橘猫头挨头睡觉,微信图片_20260812143555_134_56.jpg,4,灰地砖/室内台沿,812批:107;108左;134;155,高,白鼻梁通脖特征跨照确认 社交性好
CAT-024,监工,上士,施工监理,狸花,粉鼻带黑斑大眼长胡须 出现在施工告示金属台面,微信图片_20260812143555_115_56.jpg,3,施工区域金属台面,812批:115;116;118,高,连拍确认
CAT-025,悟空,中士,二龙山侦察兵,狸花带橘调,圆脸大眼粗尾环纹 会爬树,微信图片_20260812143555_132_56.jpg,1,室外树上,812批:132,高,正脸A级 爬树照稀缺
CAT-026,围挡,列兵,施工区巡查,狸花白,白身为主 头顶及尾灰狸花环纹 偏瘦绿眼,微信图片_20260812143555_164_56.jpg,2,施工围挡/电动车广告牌,812批:163;164,高,连拍确认
CAT-027,栏杆,列兵,护栏哨兵,狸花,灰底黑条纹 瘦小亚成年 四肢深条纹,微信图片_20260812143555_166_56.jpg,1,大理石墙面不锈钢栏杆,812批:166,高,正脸A级
CAT-028,懒腰,列兵,门厅接待,狸花,灰褐底黑条纹 前爪伸直趴卧伸懒腰,微信图片_20260812143555_169_56.jpg,1,建筑入口阴凉处,812批:169,高,正脸A级
CAT-029,大胆,上尉,对犬作战处长,狸花白,深灰褐背白口罩脸白手套白靴绿眼 与黄狗对峙不落下风,微信图片_20260816232535_101_39.jpg,3,柏油路面,816批:101;102;103,高,与狗对峙连拍 故事性最强
CAT-030,花木兰,少校,电动车区统领,三花,橘黑白三色 仰头直视镜头 气场足,微信图片_20260812143555_158_56.jpg,2,电动车停放区,812批:158;159,高,原唯一三花(现有5只) 与橘白同框
CAT-031,枯叶,中士,土路潜伏员,玳瑁,黑为主杂橘斑 尾黑 常卧土路枯草边,微信图片_20260812143555_147_56.jpg,3,土路枯草区,812批:144;146;147,高,连拍确认
CAT-032,白靴,下士,灌木侦察,玳瑁,黑橘斑驳 一只白色后爪 深色蓬松尾,微信图片_20260816232544_108_39.jpg,1,路边枯叶灌木丛,816批:108,高,白后爪特征独特 816批106疑似同只
CAT-033,电瓶,列兵,车棚充电员,玳瑁,黑褐橘杂色 出没电动车停放处,微信图片_20260812143555_168_56.jpg,4,电动车停放处/广场,812批:168猫2;170猫3;补33805:63;65,中,电动车区玳瑁2张并入待确认(毛长略异)
CAT-034,手套,中士,夜间巡逻,奶牛,黑背白腹 四爪白手套醒目 体型圆润,微信图片_20260812143555_82_56.jpg,2,夜间树下草地/石板台阶,812批:81;82,高,白手套特征合并
CAT-035,斑马线,下士,马路协警,奶牛,脸白底黑斑(眼周耳侧) 粉鼻 夜间柏油路白线旁,微信图片_20260812143555_88_56.jpg,1,夜间柏油路面,812批:88,高,正脸B级
CAT-036,潜伏,列兵,草丛哨兵,奶牛,黑多白少 四肢白袜 头埋草丛,微信图片_20260812143555_94_56.jpg,1,石墙根草丛,812批:94,高,
CAT-037,红毯,列兵,门厅礼仪,奶牛,黑背白腹白手套 卧红色地垫旁,微信图片_20260812143555_113_56.jpg,1,花岗岩地面红地垫角落,812批:113,高,
CAT-038,月牙,列兵,新兵,奶牛(幼猫),颈后白色项圈状月牙环纹 体型小,微信图片_20260812143555_114_56.jpg,1,花岗岩地面红地垫旁,812批:114,高,幼猫
CAT-039,面罩,中士,蒙面教官,奶牛,白身黑头 黑面罩配白鼻梁 鼻粉带黑点黄绿眼,微信图片_20260812143555_119_56.jpg,1,室外沥青路面,812批:119,高,仰头正脸A级
CAT-040,白须,上士,老参谋,奶牛,黑背白胸白下巴 鼻黑带粉 白须长显老成,微信图片_20260812143555_120_56.jpg,2,墙角黑地砖/植被浅睡区,812批:120;补35021:93,中高,浅睡照疑同只(白须黑耳吻合)待确认
CAT-041,披肩,上士,仪仗队员,奶牛,黑背 肩部白色弧形披肩纹,微信图片_20260812143555_123_56.jpg,1,墙角金属门槛,812批:123,高,
CAT-042,墨尾,中尉,楼内巡逻长,奶牛,白底大块黑斑 纯黑尾巴极具辨识度,微信图片_20260812143555_136_56.jpg,6,花岗岩地面/建筑物门口,812批:129;130;131;136;139;140,中,两组合并推断(均白底黑斑黑尾) 待确认
CAT-043,坦荡,列兵,土路晾晒员,奶牛,白身背腰大块黑斑 仰卧露肚毫不设防,微信图片_20260812143555_143_56.jpg,1,土路枯草边,812批:143,高,仰卧正脸A级
CAT-044,圆眼,下士,草丛哨兵,奶牛,黑面罩白嘴鼻白胸白爪 圆眼直视,微信图片_20260812143555_167_56.jpg,1,草丛井盖旁,812批:167,高,正脸A级
CAT-045,黑豆,列兵,新兵,奶牛(幼猫),黑背白胸四肢白 背上有白块 体型小,微信图片_20260816232539_105_39.jpg,1,草地土路交界,816批:105猫1,高,幼猫 与黑猫同框
CAT-046,黑帽,上士,车棚管理员,奶牛,头顶一块显著黑斑如戴帽 背两大块黑斑黑尾 圆胖,微信图片_20260816232543_107_39.jpg,1,石材铺地自行车旁,816批:107,高,黑帽子特征独特
CAT-047,马鞍,中士,运输兵,奶牛,背部大片黑色鞍状斑 头带黑斑白腿 体型胖,微信图片_20260816232545_109_39.jpg,2,路边枯叶灌木丛,816批:109;110,高,连拍确认
CAT-048,独眼,中士,夜巡队长,奶牛,左眼及耳周大片黑斑如眼罩 黄绿眼粉鼻圆胖脸,微信图片_20260816232548_112_39.jpg,3,夜晚路面/石台灌木区,816批:111;112;补33805:44猫2,中高,石台群左眼罩猫1张并入(眼罩特征独特 体型疑偏幼待确认)
CAT-049,披风,上士,灰地砖巡长,奶牛,背部黑色如披风 头顶黑斑 头颈腹白,微信图片_20260812143555_135_56.jpg,1,灰色地砖路面,812批:135,高,
CAT-050,白玉,中尉,仪仗队礼服,纯白,纯白无杂毛 蓝眼睛粉鼻 体态圆润 颜值担当,5F9B576FCD0F435CEB1DC58553937C7C.jpg,1,户外石砖路边柏树旁,hash:5F9B,高,稀有纯白蓝眼
CAT-051,暹罗,上校,外籍技术顾问,长毛重点色,灰重点色长毛(布偶/暹罗串) 耳尖面部灰色 尾蓬松 稀有品种,微信图片_20260812143555_124_56.jpg,2,花岗岩地面(疑似楼内),812批:124;125,高,稀有品种 校园猫中罕见
CAT-052,奶糖,列兵,新兵蛋子,浅橘(奶油色)幼猫,全身浅橘细虎斑 粉鼻绿眼 仰躺露肚,微信图片_20260812143555_112_56.jpg,1,室内墙角黑白瓷砖,812批:112,高,幼猫 正脸A级
CAT-053,仰面,列兵,新兵连学员,狸花白(幼猫),头部虎斑面具+白身白肢 仰躺前肢伸展直视镜头,补充视频照片/微信图片_20260816233805_7_184.jpg,2,居民楼红砖地,补33805:7;8,高,幼猫 正脸A级
CAT-054,墨点,列兵,新兵连学员,奶牛(幼猫),白底头部黑面具+鼻部黑点 仰卧直视,补充视频照片/微信图片_20260816233805_9_184.jpg,1,居民楼红砖地,补33805:9,高,与CAT-053同场景疑同窝 正脸A级
CAT-055,自来熟,中士,民心工作员,狸花白,白脸白胸白爪+头部深灰虎斑面具 黑鼻斑 仰卧露腹亲人,补充视频照片/微信图片_20260816233805_11_184.jpg,3,老旧水泥地砖房区,补33805:10;11;13,高,连拍确认(原片旋转180°) 正脸A级
CAT-056,鸳鸯,中士,被服厂配色师,三花虎斑,左脸米黄右脸深灰黑 白鼻梁白胸 侧卧直视,补充视频照片/微信图片_20260816233805_14_184.jpg,1,红褐瓷砖地面,补33805:14,高,阴阳脸独特 正脸A级
CAT-057,探地,列兵,地形勘察员,三花(幼猫),头部棕褐深灰+白脸白爪 站立低头嗅地,补充视频照片/微信图片_20260816233805_18_184.jpg,1,老旧楼道口,补33805:18猫1,中,室内疑同只照(16/17疑家猫)未计入
CAT-058,摔跤,下士,体能训练员,狸花,灰黑条纹+白腹白围脖白手套 打闹担当,补充视频照片/微信图片_20260816233805_26_184.jpg,4,水泥地排水格栅区,补33805:26猫1;27猫1;28猫1;29猫1,高,与CAT-059固定搭档连拍
CAT-059,陪练,列兵,体能训练员,白底黑斑,背单块圆黑斑+黑白尾 仰卧四脚朝天,补充视频照片/微信图片_20260816233805_26_184.jpg,4,水泥地排水格栅区,补33805:26猫2;27猫2;28猫2;29猫2,高,与CAT-058固定搭档连拍
CAT-060,玄铁,上士,装备保密员,纯黑,通黑无杂色 中长毛圆润肥硕,补充视频照片/微信图片_20260816233805_44_184.jpg,2,石台灌木小径,补33805:42猫1;44猫1,高,名册唯一纯黑 稀有花色 代表照44(纯黑主体)
CAT-061,脸谱,中士,文工团台柱子,黑白奶牛,黑面具+白口罩 黑背白胸腹白肢 蹲坐仰头直视,补充视频照片/微信图片_20260816233805_48_184.jpg,3,浅灰花岗岩石台,补33805:43猫1;48猫1;49猫1,高,石台群常驻 正脸A级
CAT-062,跟班,列兵,石台警卫员,棕狸花,浅黄褐底深棕条纹+M纹 幼年渐长,补充视频照片/微信图片_20260816233805_43_184.jpg,4,浅灰花岗岩石台,补33805:43猫2;44猫3;48猫2;49猫2,高,石台群成员连拍
CAT-063,小黑帽,列兵,给养接收员,白底黑斑(幼猫),头顶黑帽+尾根黑鞍+全黑尾 竖尾站立,补充视频照片/微信图片_20260816233805_41_184.jpg,4,红砖地投喂点,补33805:33猫2;34猫2;41;42猫2,高,投喂点常客连拍
CAT-064,小虎,列兵,新兵连学员,棕褐虎斑(幼猫),背部条纹清晰 前爪搭同伴肩嗅闻,补充视频照片/微信图片_20260816233805_33_184.jpg,2,绿门水泥地投喂点,补33805:33猫1;34猫1,中,与CAT-063搭档幼猫
CAT-065,高架,下士,高空作业员,狸白长毛(幼猫),深灰黑虎斑头+白身+黑蓬松长尾 攀爬金属框架探头,补充视频照片/微信图片_20260816233805_38_184.jpg,1,金属护栏扶手,补33805:38,高,攀爬照 正脸A级
CAT-066,干饭,列兵,炊事班学徒,灰白虎斑加白,灰黑面具八字脸+白口鼻白爪 进食抬头直视,补充视频照片/微信图片_20260816233805_40_184.jpg,1,红褐水泥地投喂点,补33805:40,高,进食照 正脸A级
CAT-067,挡风,中士,车辆保养员,橘白,橘背橘头淡虎斑+白胸腹白肢 偏胖 站车座伸爪探挡风被,补充视频照片/微信图片_20260816233805_50_184.jpg,1,电动车停放区,补33805:50,高,
CAT-068,坐垫,列兵,车库值班员,橘白,橘头橘背+白脸白颈白胸腹 偏瘦青年 车座熟睡,补充视频照片/微信图片_20260816233805_51_184.jpg,2,电动车停放区,补33805:51;53,高,连拍确认
CAT-069,立正,列兵,仪仗队苗子,狸花白(幼猫),棕灰虎斑背头尾+白胸腹白爪白围脖 站立翘尾直视,补充视频照片/微信图片_20260816233805_55_184.jpg,1,水泥路缘石,补33805:55,高,站姿标准 正脸A级
CAT-070,查鞋,列兵,内务检查员,狸花(幼猫),深浅灰褐条纹背深腹浅 低头嗅白运动鞋,补充视频照片/微信图片_20260816233805_57_184.jpg,1,沥青路面,补33805:57,中,互动照故事性好
CAT-073,大字,列兵,午休标兵,狸花,棕褐底深条纹+浅米腹白口鼻白围脖 仰卧四脚朝天,补充视频照片/微信图片_20260816233805_61_184.jpg,1,水泥台阶路缘,补33805:61,高,仰卧睡姿标兵
CAT-074,晨雾,中士,气象观测员,灰白长毛,银灰与白相间无明显深纹 体型偏大 草地侧卧打盹,补充视频照片/微信图片_20260816235021_78_184.jpg,1,草地落叶,补35021:78,中,银灰花色少见
CAT-075,初雪,列兵,新兵连学员,纯白(幼猫),纯白短毛 蹲姿看镜头,补充视频照片/微信图片_20260816235021_101_184.jpg,1,铁栅栏边,补35021:101猫2,高,稀有纯白幼猫 正脸A级
CAT-078,方砖,下士,瓷砖区巡查员,橘白长毛,橘白分布均匀 蓬松长毛 灰瓷砖区常驻,补充视频照片/微信图片_20260816235021_96_184.jpg,5,灰瓷砖地面,补35021:94;95;96;98;99,中,同区连拍合并观察
CAT-079,远望,下士,哨所观察员,奶牛(长毛),黑白斑明显 端坐目光望远方,补充视频照片/微信图片_20260816235021_83_184.jpg,2,植被地面,补35021:83;84,中,
CAT-080,两仪,中士,地图绘制员,三花(长毛),左半脸黑右半脸橘 白胸腹白肢 黄眼,补充视频照片/微信图片_20260816235021_103_184.jpg,1,粉色砖地绿门框,补35021:103,高,正脸A级 104/85疑同只待确认
